scroll,z,k,seed,cell,x,y,inside
PHercParis4,60663,6,20327578,a,17978.21670533373,18265.405939274988,1
PHercParis4,60663,6,20327578,b,18109.21670533373,18297.405939274988,1
PHercParis4,60663,6,20327578,c,17978.21670533373,18265.405939274988,1
PHercParis4,60663,6,20327578,d,18109.21670533373,18297.405939274988,1
PHercParis4,60663,7,20328578,a,17956.694239836426,18325.511326990825,1
PHercParis4,60663,7,20328578,b,17731.694239836426,18165.511326990825,1
PHercParis4,60663,7,20328578,c,17956.694239836426,18325.511326990825,1
PHercParis4,60663,7,20328578,d,17731.694239836426,18165.511326990825,1
PHercParis4,60663,8,20329578,a,17973.352072346708,18311.939782617465,1
PHercParis4,60663,8,20329578,b,17729.352072346708,18165.939782617465,1
PHercParis4,60663,8,20329578,c,17973.464156917402,18311.689895274867,1
PHercParis4,60663,8,20329578,d,17729.352072346708,18165.939782617465,1
PHercParis4,60663,9,20330578,a,18072.90161735801,18337.29823373836,1
PHercParis4,60663,9,20330578,b,17821.90161735801,18411.29823373836,1
PHercParis4,60663,9,20330578,c,18072.90161735801,18337.29823373836,1
PHercParis4,60663,9,20330578,d,17861.90161735801,18158.29823373836,1
PHercParis4,60663,10,20331578,a,17837.18334292648,18429.800416899638,1
PHercParis4,60663,10,20331578,b,17866.18334292648,18461.800416899638,1
PHercParis4,60663,10,20331578,c,17837.18334292648,18429.800416899638,1
PHercParis4,60663,10,20331578,d,17866.18334292648,18461.800416899638,1
PHercParis4,60663,11,20332578,a,17996.552178743445,18291.241233496443,1
PHercParis4,60663,11,20332578,b,18111.552178743445,18271.241233496443,1
PHercParis4,60663,11,20332578,c,17996.552178743445,18291.241233496443,1
PHercParis4,60663,11,20332578,d,18111.552178743445,18271.241233496443,1
PHercParis4,60663,12,20333578,a,17962.140250130647,18376.8315279717,1
PHercParis4,60663,12,20333578,b,18056.140250130647,18413.8315279717,1
PHercParis4,60663,12,20333578,c,17961.923130803334,18376.368628568696,1
PHercParis4,60663,12,20333578,d,18055.923130803334,18414.368628568696,1
PHercParis4,60663,13,20334578,a,17917.82505650305,18345.914577917967,1
PHercParis4,60663,13,20334578,b,17384.82505650305,18659.914577917967,1
PHercParis4,60663,13,20334578,c,17917.82505650305,18345.914577917967,1
PHercParis4,60663,13,20334578,d,18042.82505650305,18448.914577917967,1
PHercParis4,60663,14,20335578,a,17926.292412821356,18360.872648870183,1
PHercParis4,60663,14,20335578,b,17871.292412821356,18606.872648870183,1
PHercParis4,60663,14,20335578,c,17926.292412821356,18360.872648870183,1
PHercParis4,60663,14,20335578,d,17871.292412821356,18606.872648870183,1
PHercParis4,60663,15,20336578,a,17843.33594612792,18514.154855707613,1
PHercParis4,60663,15,20336578,b,17793.33594612792,18497.154855707613,1
PHercParis4,60663,15,20336578,c,17843.33594612792,18514.154855707613,1
PHercParis4,60663,15,20336578,d,17793.33594612792,18497.154855707613,1
PHercParis4,60663,16,20337578,a,17831.21691027779,18411.58422845771,1
PHercParis4,60663,16,20337578,b,17495.21691027779,18812.58422845771,1
PHercParis4,60663,16,20337578,c,17831.21691027779,18411.58422845771,1
PHercParis4,60663,16,20337578,d,17495.21691027779,18812.58422845771,1
PHercParis4,60663,17,20338578,a,17930.968691094015,18336.16151934382,1
PHercParis4,60663,17,20338578,b,17799.968691094015,18051.16151934382,1
PHercParis4,60663,17,20338578,c,17930.968691094015,18336.16151934382,1
PHercParis4,60663,17,20338578,d,17799.968691094015,18051.16151934382,1
PHercParis4,60663,18,20339578,a,17979.408913694497,18328.455487317744,1
PHercParis4,60663,18,20339578,b,17771.408913694497,18014.455487317744,1
PHercParis4,60663,18,20339578,c,17979.77133196723,18328.077948439884,1
PHercParis4,60663,18,20339578,d,17851.9737375715,18533.14603368312,1
PHercParis4,60663,19,20340578,a,17967.719696324573,18305.85325341345,1
PHercParis4,60663,19,20340578,b,18067.719696324573,18388.85325341345,1
PHercParis4,60663,19,20340578,c,17967.719696324573,18305.85325341345,1
PHercParis4,60663,19,20340578,d,18067.719696324573,18388.85325341345,1
PHercParis4,63737,0,20324652,a,17575.048508688065,19286.39401657835,1
PHercParis4,63737,0,20324652,b,17277.048508688065,19224.39401657835,1
PHercParis4,63737,0,20324652,c,17575.048508688065,19286.39401657835,1
PHercParis4,63737,0,20324652,d,17277.048508688065,19224.39401657835,1
PHercParis4,63737,1,20325652,a,17545.7847207149,19296.38537884604,1
PHercParis4,63737,1,20325652,b,17196.7847207149,19498.38537884604,1
PHercParis4,63737,1,20325652,c,17545.7847207149,19296.38537884604,1
PHercParis4,63737,1,20325652,d,17196.7847207149,19498.38537884604,1
PHercParis4,63737,2,20326652,a,17603.333215777187,19282.389577362872,1
PHercParis4,63737,2,20326652,b,17678.333215777187,19488.389577362872,1
PHercParis4,63737,2,20326652,c,17603.333215777187,19282.389577362872,1
PHercParis4,63737,2,20326652,d,17678.333215777187,19488.389577362872,1
PHercParis4,63737,3,20327652,a,17505.237360015224,19333.5494529921,1
PHercParis4,63737,3,20327652,b,17231.237360015224,19416.5494529921,1
PHercParis4,63737,3,20327652,c,17505.237360015224,19333.5494529921,1
PHercParis4,63737,3,20327652,d,17231.237360015224,19416.5494529921,1
PHercParis4,63737,4,20328652,a,17571.41124944652,19255.25094367973,1
PHercParis4,63737,4,20328652,b,17460.41124944652,19048.25094367973,1
PHercParis4,63737,4,20328652,c,17571.41124944652,19255.25094367973,1
PHercParis4,63737,4,20328652,d,17462.41124944652,19047.25094367973,1
PHercParis4,63737,5,20329652,a,17677.225539237574,19228.334190995258,1
PHercParis4,63737,5,20329652,b,17675.225539237574,18968.334190995258,1
PHercParis4,63737,5,20329652,c,17677.225539237574,19228.334190995258,1
PHercParis4,63737,5,20329652,d,17675.225539237574,18968.334190995258,1
PHercParis4,63737,6,20330652,a,17512.154378972762,19311.167375713634,1
PHercParis4,63737,6,20330652,b,17388.154378972762,19591.167375713634,1
PHercParis4,63737,6,20330652,c,17512.154378972762,19311.167375713634,1
PHercParis4,63737,6,20330652,d,17388.154378972762,19591.167375713634,1
PHercParis4,63737,7,20331652,a,17487.644942491657,19328.72511685044,1
PHercParis4,63737,7,20331652,b,18354.644942491657,18733.72511685044,1
PHercParis4,63737,7,20331652,c,17487.644942491657,19328.72511685044,1
PHercParis4,63737,7,20331652,d,18354.644942491657,18733.72511685044,1
PHercParis4,63737,8,20332652,a,17578.4693887665,19238.443536995845,1
PHercParis4,63737,8,20332652,b,17390.4693887665,19044.443536995845,1
PHercParis4,63737,8,20332652,c,17579.315807978226,19238.009301930164,1
PHercParis4,63737,8,20332652,d,17390.4693887665,19044.443536995845,1
PHercParis4,63737,9,20333652,a,17683.473821411,19196.691132578017,1
PHercParis4,63737,9,20333652,b,17792.473821411,18877.691132578017,1
PHercParis4,63737,9,20333652,c,17683.473821411,19196.691132578017,1
PHercParis4,63737,9,20333652,d,17792.451752137422,18877.880957102538,1
PHercParis4,63737,10,20334652,a,17531.685453953272,19321.71026718559,1
PHercParis4,63737,10,20334652,b,17343.685453953272,19112.71026718559,1
PHercParis4,63737,10,20334652,c,17531.685453953272,19321.71026718559,1
PHercParis4,63737,10,20334652,d,17343.685453953272,19112.71026718559,1
PHercParis4,63737,11,20335652,a,17537.767659580717,19308.047489882294,1
PHercParis4,63737,11,20335652,b,17310.767659580717,19153.047489882294,1
PHercParis4,63737,11,20335652,c,17537.767659580717,19308.047489882294,1
PHercParis4,63737,11,20335652,d,17310.767659580717,19153.047489882294,1
PHercParis4,63737,12,20336652,a,17621.55502377452,19255.876120311685,1
PHercParis4,63737,12,20336652,b,17228.55502377452,19198.876120311685,1
PHercParis4,63737,12,20336652,c,17622.01268345717,19255.569286147966,1
PHercParis4,63737,12,20336652,d,17228.55502377452,19198.876120311685,1
PHercParis4,63737,13,20337652,a,17543.483525890366,19270.93981880664,1
PHercParis4,63737,13,20337652,b,17186.483525890366,19256.93981880664,1
PHercParis4,63737,13,20337652,c,17543.483525890366,19270.93981880664,1
PHercParis4,63737,13,20337652,d,17186.483525890366,19256.93981880664,1
PHercParis4,63737,14,20338652,a,17559.147735019244,19284.154010374725,1
PHercParis4,63737,14,20338652,b,17331.147735019244,19074.154010374725,1
PHercParis4,63737,14,20338652,c,17559.147735019244,19284.154010374725,1
PHercParis4,63737,14,20338652,d,17331.147735019244,19074.154010374725,1
PHercParis4,63737,15,20339652,a,17543.769595532474,19288.92993922888,1
PHercParis4,63737,15,20339652,b,17266.769595532474,19233.92993922888,1
PHercParis4,63737,15,20339652,c,17543.769595532474,19288.92993922888,1
PHercParis4,63737,15,20339652,d,17266.769595532474,19233.92993922888,1
PHercParis4,63737,16,20340652,a,17551.307689404366,19284.85920879545,1
PHercParis4,63737,16,20340652,b,17227.307689404366,19468.85920879545,1
PHercParis4,63737,16,20340652,c,17551.307689404366,19284.85920879545,1
PHercParis4,63737,16,20340652,d,17227.307689404366,19468.85920879545,1
PHercParis4,63737,17,20341652,a,17637.443287427915,19283.91539553169,1
PHercParis4,63737,17,20341652,b,17470.443287427915,19040.91539553169,1
PHercParis4,63737,17,20341652,c,17637.220403406867,19284.098464306255,1
PHercParis4,63737,17,20341652,d,17469.220403406867,19041.098464306255,1
PHercParis4,63737,18,20342652,a,17495.604052309165,19294.248529569613,1
PHercParis4,63737,18,20342652,b,17314.604052309165,19587.248529569613,1
PHercParis4,63737,18,20342652,c,17495.604052309165,19294.248529569613,1
PHercParis4,63737,18,20342652,d,17314.604052309165,19587.248529569613,1
