section,p,distance_units,weighted_sum,weighted_mean
f1 spiral,0.5,26137.629,12.601595353662171,0.509304612879524
f1 spiral,0.5,28394.708,12.090388236456093,0.5093088238598191
f1 spiral,0.5,30846.695,11.599915899593,0.5093123002437991
f1 spiral,0.5,33510.419,11.129338097239646,0.5093151618947469
f1 spiral,0.5,36404.165,10.677848471679136,0.5093175096617657
f1 spiral,0.5,39547.798,10.244673219154015,0.5093194283642489
f1 spiral,0.5,42962.894,9.829069801771531,0.5093209893080903
f1 spiral,0.5,46672.896,9.430325705183728,0.5093222524076717
f1 spiral,0.5,50703.27,9.047757241456559,0.5093232679757697
f1 spiral,0.5,55081.682,8.68070839631736,0.509324078233577
f1 spiral,0.5,59838.186,8.328549719803503,0.5093247185847365
f1 spiral,0.5,65005.431,7.990677259213915,0.5093252186903304
f1 spiral,0.5,70618.886,7.666511533180622,0.5093256033759259
f1 spiral,0.5,76717.084,7.355496545621595,0.5093258933968976
f1 spiral,0.5,83341.883,7.057098838302384,0.5093261060841185
f1 spiral,0.5,90538.758,6.770806580718528,0.5093262558886629
f1 spiral,0.5,98357.109,6.4961286960082685,0.5093263548412422
f1 spiral,0.5,106850.603,6.232594021613682,0.5093264129396491
f1 spiral,0.5,116077.542,5.979750503425157,0.5093264384754124
f1 spiral,0.5,126101.26,5.737164422166776,0.5093264383091255
f1 spiral,0.5,136990.562,5.5044196508077246,0.5093264181024366
f1 spiral,0.5,148820.195,5.281116941815673,0.5093263825134514
f1 spiral,0.5,161671.361,5.066873243101082,0.5093263353612478
f1 spiral,0.5,175632.271,4.8613210415363195,0.509326279764321
f1 spiral,0.5,190798.756,4.664107732968949,0.5093262182570256
f1 spiral,0.5,207274.923,4.474895017684654,0.5093261528874548
f1 spiral,0.5,225173.867,4.293358320311569,0.5093260852996583
f1 spiral,0.5,244618.449,4.119186233193529,0.5093260168026561
f1 spiral,0.5,265742.142,3.9520799822953014,0.5093259484283169
f1 spiral,0.5,288689.943,3.791752914737671,0.5093258809798547
f1 spiral,0.5,313619.37,3.637930007094221,0.5093258150724199
f1 spiral,0.5,340701.543,3.490347393614961,0.509325751167037
f1 spiral,0.5,370122.361,3.348751913574079,0.509325689598938
f1 spiral,0.5,402083.773,3.2129006769703974,0.5093256306011846
f1 spiral,0.5,436805.17,3.0825606478394567,0.5093255743243321
f1 spiral,0.5,474524.885,2.95750824446531,0.5093255208527622
f1 spiral,0.5,515501.835,2.8375289558084136,0.5093254702182259
f1 spiral,0.5,560017.294,2.7224169734932264,0.5093254224110433
f1 spiral,0.5,608376.825,2.6119748387253248,0.5093253773893396
f1 spiral,0.5,660912.377,2.5060131035331876,0.5093253350866406
f1 spiral,0.5,717984.565,2.4043500057540284,0.5093252954180938
f1 spiral,0.5,779985.144,2.306811157206442,0.5093252582855438
f1 spiral,0.5,847339.699,2.2132292445151553,0.5093252235816513
f1 spiral,0.5,920510.564,2.123443742074694,0.5093251911932177
f1 spiral,0.5,1000000.0,2.0373006366595536,0.5093251610038486
f1 spiral,1.0,10.0,5.953938641747266,0.9725829123851537
f1 spiral,1.0,10.864,5.95382550793609,0.9723857360068514
f1 spiral,1.0,11.802,5.953695432590356,0.9721689360612559
f1 spiral,1.0,12.821,5.953545646639441,0.9719303453882676
f1 spiral,1.0,13.928,5.953372902501579,0.9716675231508629
f1 spiral,1.0,15.131,5.953173388426855,0.9713777152009838
f1 spiral,1.0,16.437,5.952942627092855,0.9710578080166827
f1 spiral,1.0,17.857,5.9526753554771545,0.9707042750758704
